name,section,goal,level,sets,reps,duration,calories,difficulty
Jumping Jacks,warmup,All,Beginner,3,30,2,25,Easy
Arm Circles,warmup,All,Beginner,2,20,1,10,Easy
High Knees,warmup,All,Intermediate,3,30,2,30,Easy
Butt Kicks,warmup,All,Beginner,3,30,2,25,Easy
Dynamic Lunges,warmup,All,Intermediate,2,12,3,30,Medium
Pushups,main,Muscle Gain,Beginner,3,12,5,40,Medium
Incline Pushups,main,Muscle Gain,Beginner,3,10,5,35,Easy
Diamond Pushups,main,Muscle Gain,Advanced,4,15,6,55,Hard
Squats,main,All,Beginner,4,15,6,50,Medium
Jump Squats,main,Weight Loss,Intermediate,3,15,5,70,Hard
Lunges,main,All,Beginner,3,12,5,45,Medium
Burpees,main,Weight Loss,Intermediate,3,10,5,80,Hard
Mountain Climbers,main,Weight Loss,Intermediate,3,30,4,60,Hard
Plank,main,All,Beginner,3,1,3,30,Medium
Side Plank,main,All,Intermediate,3,1,3,25,Medium
Crunches,main,All,Beginner,3,20,4,30,Easy
Leg Raises,main,Muscle Gain,Intermediate,3,15,4,35,Medium
Bicycle Crunches,main,Weight Loss,Intermediate,3,20,4,40,Medium
Deadlifts (bodyweight),main,Muscle Gain,Intermediate,4,12,6,55,Medium
Glute Bridges,main,All,Beginner,3,15,4,30,Easy
Running,main,Weight Loss,All,1,1,20,200,Medium
Brisk Walking,main,Maintain Weight,Beginner,1,1,30,120,Easy
Cycling,main,Weight Loss,All,1,1,25,180,Medium
Jump Rope,main,Weight Loss,Intermediate,3,1,3,90,Hard
Cobra Stretch,cooldown,All,Beginner,1,1,1,5,Easy
Child Pose,cooldown,All,Beginner,1,1,1,5,Easy
Hamstring Stretch,cooldown,All,Beginner,2,1,2,8,Easy
Quadriceps Stretch,cooldown,All,Beginner,2,1,2,8,Easy
Shoulder Stretch,cooldown,All,Beginner,2,1,2,5,Easy
Deep Breathing,cooldown,All,Beginner,1,10,3,5,Easy
